#Replicon Name,Replicon Accession,Start,Stop,Strand,GeneID,Locus tag,Protein product,Length,Protein name
Un,NW_008751646.1,115803,117279,-,20304685,HMPREF1120_00046,XP_009152280.1,475,hypothetical protein HMPREF1120_00046
Un,NW_008751646.1,118380,118610,-,20304686,HMPREF1120_00047,XP_009152281.1,76,hypothetical protein HMPREF1120_00047
Un,NW_008751646.1,119909,122302,-,20304687,HMPREF1120_00048,XP_009152282.1,744,eukaryotic translation initiation factor 3 subunit B
Un,NW_008751646.1,123034,124029,+,20304688,HMPREF1120_00049,XP_009152283.1,283,hypothetical protein HMPREF1120_00049
Un,NW_008751646.1,124691,127302,+,20304689,HMPREF1120_00050,XP_009152284.1,853,nuclear receptor
Un,NW_008751646.1,127671,129566,-,20304690,HMPREF1120_00051,XP_009152285.1,631,hypothetical protein HMPREF1120_00051
Un,NW_008751646.1,127671,129566,-,20304690,HMPREF1120_00051,XP_009152286.1,631,hypothetical protein; variant 2
Un,NW_008751646.1,127671,129566,-,20304690,HMPREF1120_00051,XP_009152287.1,631,hypothetical protein; variant 1
Un,NW_008751646.1,130892,133404,-,20304691,HMPREF1120_00052,XP_009152288.1,766,hypothetical protein HMPREF1120_00052
Un,NW_008751646.1,135030,136882,+,20304692,HMPREF1120_00053,XP_009152289.1,509,retrograde regulation protein 2
Un,NW_008751646.1,138116,139254,-,20304693,HMPREF1120_00054,XP_009152290.1,301,hypothetical protein HMPREF1120_00054
Un,NW_008751646.1,139987,142870,-,20304694,HMPREF1120_00055,XP_009152291.1,928,hypothetical protein HMPREF1120_00055
Un,NW_008751646.1,143599,145494,-,20304695,HMPREF1120_00056,XP_009152292.1,524,pyruvate kinase
Un,NW_008751646.1,147407,148975,-,20304696,HMPREF1120_00057,XP_009152293.1,504,hypothetical protein HMPREF1120_00057
Un,NW_008751646.1,150316,151365,-,20304697,HMPREF1120_00058,XP_009152294.1,349,hypothetical protein HMPREF1120_00058
Un,NW_008751646.1,152191,153966,+,20304698,HMPREF1120_00059,XP_009152295.1,591,hypothetical protein HMPREF1120_00059
Un,NW_008751646.1,154447,155863,+,20304699,HMPREF1120_00060,XP_009152296.1,361,homoisocitrate dehydrogenase; mitochondrial
Un,NW_008751646.1,156501,158747,-,20304700,HMPREF1120_00061,XP_009152297.1,748,hypothetical protein HMPREF1120_00061
Un,NW_008751646.1,160132,161229,+,20304701,HMPREF1120_00062,XP_009152298.1,365,hypothetical protein HMPREF1120_00062
Un,NW_008751646.1,161727,163895,-,20304702,HMPREF1120_00063,XP_009152299.1,722,hypothetical protein HMPREF1120_00063
Un,NW_008751646.1,165038,165849,-,20304703,HMPREF1120_00064,XP_009152300.1,228,glutathione S-transferase
Un,NW_008751646.1,166654,167442,-,20304704,HMPREF1120_00065,XP_009152301.1,262,short-chain dehydrogenase/reductase SDR
Un,NW_008751646.1,167990,169489,-,20304705,HMPREF1120_00066,XP_009152302.1,499,membrane dipeptidase
Un,NW_008751646.1,170251,171870,+,20304706,HMPREF1120_00067,XP_009152303.1,539,hypothetical protein HMPREF1120_00067
Un,NW_008751646.1,172524,173414,+,20304707,HMPREF1120_00068,XP_009152304.1,296,hypothetical protein HMPREF1120_00068
Un,NW_008751646.1,174210,175690,-,20304708,HMPREF1120_00069,XP_009152305.1,379,3-deoxy-7-phosphoheptulonate synthase
Un,NW_008751646.1,176403,181124,-,20304709,HMPREF1120_00070,XP_009152306.1,1556,hypothetical protein HMPREF1120_00070
Un,NW_008751646.1,182886,183427,+,20304710,HMPREF1120_00071,XP_009152307.1,143,hypothetical protein HMPREF1120_00071
Un,NW_008751646.1,187653,188905,+,20304711,HMPREF1120_00072,XP_009152308.1,383,hypothetical protein HMPREF1120_00072
Un,NW_008751646.1,189742,192590,+,20304712,HMPREF1120_00073,XP_009152309.1,932,hypothetical protein HMPREF1120_00073
Un,NW_008751646.1,193148,194325,-,20304713,HMPREF1120_00074,XP_009152310.1,365,hypothetical protein HMPREF1120_00074
Un,NW_008751646.1,196077,196913,+,20304714,HMPREF1120_00075,XP_009152311.1,278,hypothetical protein HMPREF1120_00075
Un,NW_008751646.1,197206,198162,-,20304715,HMPREF1120_00076,XP_009152312.1,318,hypothetical protein HMPREF1120_00076
Un,NW_008751646.1,197206,198162,-,20304715,HMPREF1120_00076,XP_009152313.1,318,hypothetical protein; variant
Un,NW_008751646.1,199743,202574,-,20304716,HMPREF1120_00077,XP_009152314.1,943,hypothetical protein HMPREF1120_00077
Un,NW_008751646.1,203872,206243,-,20304717,HMPREF1120_00078,XP_009152315.1,759,AAA family ATPase
Un,NW_008751646.1,204245,206243,-,20304717,HMPREF1120_00078,XP_009152316.1,610,AAA family ATPase; variant
Un,NW_008751646.1,212482,218295,+,20304718,HMPREF1120_00079,XP_009152317.1,1937,hypothetical protein HMPREF1120_00079
Un,NW_008751646.1,220184,220771,+,20304719,HMPREF1120_00080,XP_009152318.1,163,hypothetical protein HMPREF1120_00080
Un,NW_008751646.1,221802,223235,-,20304720,HMPREF1120_00081,XP_009152319.1,477,molybdopterin biosynthesis protein MoeB
Un,NW_008751646.1,223919,225361,-,20304721,HMPREF1120_00082,XP_009152320.1,464,glycerol-3-phosphate dehydrogenase (NAD+)
Un,NW_008751646.1,227157,227780,+,20304722,HMPREF1120_00083,XP_009152321.1,207,hypothetical protein HMPREF1120_00083
Un,NW_008751646.1,229496,231854,+,20304723,HMPREF1120_00084,XP_009152322.1,769,hypothetical protein HMPREF1120_00084
Un,NW_008751646.1,233133,234869,+,20304724,HMPREF1120_00085,XP_009152323.1,534,cytochrome P450; family 51; subfamily A (sterol 14-demethylase)
Un,NW_008751646.1,236983,238926,+,20304725,HMPREF1120_00086,XP_009152324.1,613,DNA repair protein RAD50
Un,NW_008751646.1,239692,240645,+,20304726,HMPREF1120_00087,XP_009152325.1,270,phosphomannomutase
Un,NW_008751646.1,241752,244643,-,20304727,HMPREF1120_00088,XP_009152326.1,963,aminopeptidase
Un,NW_008751646.1,246469,249527,-,20304728,HMPREF1120_00089,XP_009152327.1,985,unc51-like kinase
Un,NW_008751646.1,250944,253661,-,20304729,HMPREF1120_00090,XP_009152328.1,905,dolichol kinase
Un,NW_008751646.1,254229,255643,-,20304730,HMPREF1120_00091,XP_009152329.1,389,isocitrate dehydrogenase
Un,NW_008751646.1,256261,258022,-,20304731,HMPREF1120_00092,XP_009152330.1,551,hypothetical protein HMPREF1120_00092
Un,NW_008751646.1,259498,263502,-,20304732,HMPREF1120_00093,XP_009152331.1,1334,RalA-binding protein 1
Un,NW_008751646.1,265210,265953,-,20304733,HMPREF1120_00094,XP_009152332.1,247,20S proteasome subunit beta 7
Un,NW_008751646.1,266274,267123,+,20304734,HMPREF1120_00095,XP_009152333.1,264,20S proteasome subunit beta 6
Un,NW_008751646.1,267439,268251,-,20304735,HMPREF1120_00096,XP_009152334.1,270,pre-rRNA-processing protein PNO1
Un,NW_008751646.1,268785,270947,+,20304736,HMPREF1120_00097,XP_009152335.1,720,hypothetical protein HMPREF1120_00097
Un,NW_008751646.1,272435,275557,-,20304737,HMPREF1120_00098,XP_009152336.1,1040,hypothetical protein HMPREF1120_00098
Un,NW_008751646.1,276290,277776,+,20304738,HMPREF1120_00099,XP_009152337.1,452,hypothetical protein HMPREF1120_00099
Un,NW_008751646.1,278050,279181,-,20304739,HMPREF1120_00100,XP_009152338.1,355,oxidoreductase; 2-nitropropane dioxygenase
Un,NW_008751646.1,280062,280853,-,20304740,HMPREF1120_00101,XP_009152339.1,263,hypothetical protein HMPREF1120_00101
Un,NW_008751646.1,281663,283192,+,20304741,HMPREF1120_00102,XP_009152340.1,509,DNA polymerase delta subunit 2
Un,NW_008751646.1,283328,284223,+,20304742,HMPREF1120_00103,XP_009152341.1,258,DNA polymerase delta subunit 2
Un,NW_008751646.1,284640,285417,-,20304743,HMPREF1120_00104,XP_009152342.1,124,50S ribosomal protein L38e
Un,NW_008751646.1,285714,287320,-,20304744,HMPREF1120_00105,XP_009152343.1,513,hypothetical protein HMPREF1120_00105
Un,NW_008751646.1,288178,288820,+,20304745,HMPREF1120_00106,XP_009152344.1,192,proteasome component PUP3
Un,NW_008751646.1,289458,292439,-,20304746,HMPREF1120_00107,XP_009152345.1,913,hypothetical protein HMPREF1120_00107
Un,NW_008751646.1,295171,296459,+,20304747,HMPREF1120_00108,XP_009152346.1,395,hypothetical protein HMPREF1120_00108
Un,NW_008751646.1,297375,299894,-,20304748,HMPREF1120_00109,XP_009152347.1,839,selenocysteine lyase
Un,NW_008751646.1,300843,301506,-,20304749,HMPREF1120_00110,XP_009152348.1,200,hypothetical protein HMPREF1120_00110
Un,NW_008751646.1,302597,303298,+,20304750,HMPREF1120_00111,XP_009152349.1,185,hypothetical protein HMPREF1120_00111
Un,NW_008751646.1,304704,305492,+,20304751,HMPREF1120_00112,XP_009152350.1,262,hypothetical protein HMPREF1120_00112
Un,NW_008751646.1,306683,307963,+,20304752,HMPREF1120_00113,XP_009152351.1,370,alcohol dehydrogenase
Un,NW_008751646.1,308571,312764,+,20304753,HMPREF1120_00114,XP_009152352.1,1397,hypothetical protein HMPREF1120_00114
Un,NW_008751646.1,316785,318695,+,20304754,HMPREF1120_00115,XP_009152353.1,636,regulatory protein SWI5
Un,NW_008751646.1,319328,320361,-,20304755,HMPREF1120_00116,XP_009152354.1,280,hypothetical protein HMPREF1120_00116
Un,NW_008751646.1,322214,322921,-,20304756,HMPREF1120_00117,XP_009152355.1,235,hypothetical protein HMPREF1120_00117
Un,NW_008751646.1,324007,325904,-,20304757,HMPREF1120_00118,XP_009152356.1,589,arsenical pump membrane protein
Un,NW_008751646.1,326410,327231,+,20304758,HMPREF1120_00119,XP_009152357.1,273,hypothetical protein HMPREF1120_00119
Un,NW_008751646.1,328018,330273,-,20304759,HMPREF1120_00120,XP_009152358.1,751,mannosyl-oligosaccharide alpha-1;2-mannosidase
Un,NW_008751646.1,331208,331722,-,20304760,HMPREF1120_00121,XP_009152359.1,135,endoribonuclease L-PSP
Un,NW_008751646.1,332596,333480,+,20304761,HMPREF1120_00122,XP_009152360.1,267,hypothetical protein HMPREF1120_00122
Un,NW_008751646.1,336543,337436,+,20304762,HMPREF1120_00123,XP_009152361.1,297,hypothetical protein HMPREF1120_00123
Un,NW_008751646.1,337777,340229,-,20304763,HMPREF1120_00124,XP_009152362.1,800,hypothetical protein HMPREF1120_00124
Un,NW_008751646.1,340526,341611,-,20304764,HMPREF1120_00125,XP_009152363.1,361,hypothetical protein HMPREF1120_00125
Un,NW_008751646.1,342119,343119,-,20304765,HMPREF1120_00126,XP_009152364.1,297,succinate dehydrogenase
Un,NW_008751646.1,344234,345154,+,20304767,HMPREF1120_00128,XP_009152366.1,306,hypothetical protein HMPREF1120_00128
Un,NW_008751646.1,345354,345686,-,20304766,HMPREF1120_00127,XP_009152365.1,110,hypothetical protein HMPREF1120_00127
Un,NW_008751646.1,346523,351022,+,20304768,HMPREF1120_00129,XP_009152367.1,1499,ABC multidrug transporter
Un,NW_008751646.1,352784,353263,+,20304769,HMPREF1120_00130,XP_009152368.1,159,hypothetical protein HMPREF1120_00130
Un,NW_008751646.1,354116,355069,+,20304770,HMPREF1120_00131,XP_009152369.1,317,Pin2-interacting protein X1
Un,NW_008751646.1,355861,358077,+,20304771,HMPREF1120_00132,XP_009152370.1,703,serine/threonine-protein kinase Chk2
Un,NW_008751646.1,358830,364823,+,20304772,HMPREF1120_00133,XP_009152371.1,1979,phosphatidylinositol 4-kinase
Un,NW_008751646.1,365183,366096,-,20304773,HMPREF1120_00134,XP_009152372.1,82,hypothetical protein HMPREF1120_00134
Un,NW_008751646.1,367078,369261,+,20304774,HMPREF1120_00135,XP_009152373.1,711,glutamate carboxypeptidase II
Un,NW_008751646.1,370065,371974,+,20304775,HMPREF1120_00136,XP_009152374.1,466,2-methylcitrate dehydratase
Un,NW_008751646.1,372562,373573,+,20304776,HMPREF1120_00137,XP_009152375.1,242,hypothetical protein HMPREF1120_00137
Un,NW_008751646.1,377776,378132,+,20304777,HMPREF1120_00138,XP_009152376.1,118,hypothetical protein HMPREF1120_00138
Un,NW_008751646.1,378887,379636,+,20304778,HMPREF1120_00139,XP_009152377.1,249,hypothetical protein HMPREF1120_00139
Un,NW_008751646.1,380212,384531,-,20304779,HMPREF1120_00140,XP_009152378.1,1407,inositol-1;4;5-trisphosphate 5-phosphatase
Un,NW_008751646.1,385712,388061,-,20304780,HMPREF1120_00141,XP_009152379.1,731,hypothetical protein HMPREF1120_00141
Un,NW_008751646.1,390412,391350,-,20304781,HMPREF1120_00142,XP_009152380.1,312,hypothetical protein HMPREF1120_00142
Un,NW_008751646.1,391950,395351,+,20304782,HMPREF1120_00143,XP_009152381.1,1133,pepsin A
Un,NW_008751646.1,399308,400780,-,20304783,HMPREF1120_00144,XP_009152382.1,467,hypothetical protein HMPREF1120_00144
Un,NW_008751646.1,401374,402390,+,20304784,HMPREF1120_00145,XP_009152383.1,338,hypothetical protein HMPREF1120_00145
Un,NW_008751646.1,404033,406409,-,20304785,HMPREF1120_00146,XP_009152384.1,718,hypothetical protein HMPREF1120_00146
Un,NW_008751646.1,407880,408652,-,20304786,HMPREF1120_00147,XP_009152385.1,225,translation initiation factor eIF-4E
Un,NW_008751646.1,409241,409680,-,20304787,HMPREF1120_00148,XP_009152386.1,129,hypothetical protein HMPREF1120_00148
Un,NW_008751646.1,410424,411281,+,20304788,HMPREF1120_00149,XP_009152387.1,262,40S ribosomal protein S2
Un,NW_008751646.1,411769,412242,-,20304789,HMPREF1120_00150,XP_009152388.1,157,hypothetical protein HMPREF1120_00150
Un,NW_008751646.1,413077,414306,+,20304790,HMPREF1120_00151,XP_009152389.1,409,hypothetical protein HMPREF1120_00151
Un,NW_008751646.1,414721,415779,+,20304791,HMPREF1120_00152,XP_009152390.1,352,glutathione S-transferase
Un,NW_008751646.1,419398,420468,+,20304792,HMPREF1120_00153,XP_009152391.1,356,paxillin
Un,NW_008751646.1,420764,421174,-,20304793,HMPREF1120_00154,XP_009152392.1,136,hypothetical protein HMPREF1120_00154
Un,NW_008751646.1,423262,425026,+,20304794,HMPREF1120_00155,XP_009152393.1,541,myo-inositol-1-phosphate synthase
Un,NW_008751646.1,425809,426997,-,20304795,HMPREF1120_00156,XP_009152394.1,325,hypothetical protein HMPREF1120_00156
Un,NW_008751646.1,428752,430106,-,20304796,HMPREF1120_00157,XP_009152395.1,431,hypothetical protein HMPREF1120_00157
Un,NW_008751646.1,430890,432462,-,20304797,HMPREF1120_00158,XP_009152396.1,508,isoleucyl-tRNA synthetase
Un,NW_008751646.1,432886,436728,+,20304798,HMPREF1120_00159,XP_009152397.1,1262,kinesin family member 11
Un,NW_008751646.1,437474,438601,-,20304799,HMPREF1120_00160,XP_009152398.1,375,hypothetical protein HMPREF1120_00160
Un,NW_008751646.1,439043,440570,+,20304800,HMPREF1120_00161,XP_009152399.1,482,kynurenine 3-monooxygenase
Un,NW_008751646.1,440897,441642,+,20304801,HMPREF1120_00162,XP_009152400.1,226,hypothetical protein HMPREF1120_00162
Un,NW_008751646.1,442500,449924,-,20304802,HMPREF1120_00163,XP_009152401.1,2474,1-phosphatidylinositol-3-phosphate 5-kinase
Un,NW_008751646.1,450376,454568,+,20304803,HMPREF1120_00164,XP_009152402.1,1372,hypothetical protein HMPREF1120_00164
Un,NW_008751646.1,455603,458260,-,20304804,HMPREF1120_00165,XP_009152403.1,885,hypothetical protein HMPREF1120_00165
Un,NW_008751646.1,459564,460762,-,20304805,HMPREF1120_00166,XP_009152404.1,379,hypothetical protein HMPREF1120_00166
Un,NW_008751646.1,461829,463596,-,20304806,HMPREF1120_00167,XP_009152405.1,485,retrograde regulation protein 2
Un,NW_008751646.1,464225,464887,+,20304807,HMPREF1120_00168,XP_009152406.1,220,hypothetical protein HMPREF1120_00168
Un,NW_008751646.1,465958,467237,-,20304808,HMPREF1120_00169,XP_009152407.1,407,hypothetical protein HMPREF1120_00169
Un,NW_008751646.1,469097,470536,+,20304809,HMPREF1120_00170,XP_009152408.1,479,membrane protein
Un,NW_008751646.1,470769,471254,-,20304810,HMPREF1120_00171,XP_009152409.1,161,4-carboxymuconolactone decarboxylase
Un,NW_008751646.1,472065,473190,-,20304811,HMPREF1120_00172,XP_009152410.1,335,3-hydroxyisobutyrate dehydrogenase
Un,NW_008751646.1,474646,476780,+,20304812,HMPREF1120_00173,XP_009152411.1,596,ferrooxidoreductase Fet3
Un,NW_008751646.1,477296,478711,-,20304813,HMPREF1120_00174,XP_009152412.1,471,hypothetical protein HMPREF1120_00174
Un,NW_008751646.1,479549,481657,-,20304814,HMPREF1120_00175,XP_009152413.1,702,non-specific serine/threonine protein kinase
Un,NW_008751646.1,482360,484042,-,20304815,HMPREF1120_00176,XP_009152414.1,543,hypothetical protein HMPREF1120_00176
Un,NW_008751646.1,484700,486628,+,20304816,HMPREF1120_00177,XP_009152415.1,606,cell division control protein 6
Un,NW_008751646.1,487296,489251,+,20304817,HMPREF1120_00178,XP_009152416.1,634,hypothetical protein HMPREF1120_00178
Un,NW_008751646.1,490506,492515,+,20304818,HMPREF1120_00179,XP_009152417.1,583,CoA ligase
Un,NW_008751646.1,493813,494586,-,20304819,HMPREF1120_00180,XP_009152418.1,257,phosphoribosylglycinamide formyltransferase
Un,NW_008751646.1,496169,499271,-,20304820,HMPREF1120_00181,XP_009152419.1,1013,hypothetical protein HMPREF1120_00181
Un,NW_008751646.1,500228,501333,+,20304821,HMPREF1120_00182,XP_009152420.1,347,alpha;alpha-trehalose-phosphate synthase (UDP-forming)
Un,NW_008751646.1,502019,503260,-,20304822,HMPREF1120_00183,XP_009152421.1,413,hypothetical protein HMPREF1120_00183
Un,NW_008751646.1,503779,505122,-,20304823,HMPREF1120_00184,XP_009152422.1,447,hypothetical protein HMPREF1120_00184
Un,NW_008751646.1,505798,507694,+,20304824,HMPREF1120_00185,XP_009152423.1,479,MFS transporter; DHA1 family; multidrug resistance protein
Un,NW_008751646.1,508001,509083,-,20304825,HMPREF1120_00186,XP_009152424.1,360,maleylacetate reductase
Un,NW_008751646.1,509485,510047,-,20304826,HMPREF1120_00187,XP_009152425.1,159,hypothetical protein HMPREF1120_00187
Un,NW_008751646.1,510438,512126,+,20304827,HMPREF1120_00188,XP_009152426.1,562,hypothetical protein HMPREF1120_00188
Un,NW_008751646.1,513211,514182,+,20304828,HMPREF1120_00189,XP_009152427.1,323,sulfonate biosynthesis enzyme
Un,NW_008751646.1,515447,517300,+,20304829,HMPREF1120_00190,XP_009152428.1,617,lysophospholipase
Un,NW_008751646.1,518887,520830,+,20304830,HMPREF1120_00191,XP_009152429.1,647,MFS transporter; DHA1 family; multidrug resistance protein
Un,NW_008751646.1,521157,522297,-,20304831,HMPREF1120_00192,XP_009152430.1,290,dolichyl-diphosphooligosaccharide-protein glycosyltransferase
Un,NW_008751646.1,524031,526003,+,20304832,HMPREF1120_00193,XP_009152431.1,552,AAT family amino acid transporter
Un,NW_008751646.1,526851,527945,+,20304833,HMPREF1120_00194,XP_009152432.1,364,hypothetical protein HMPREF1120_00194
Un,NW_008751646.1,528445,529086,+,20304834,HMPREF1120_00195,XP_009152433.1,213,hypothetical protein HMPREF1120_00195
Un,NW_008751646.1,529763,530710,-,20304835,HMPREF1120_00196,XP_009152434.1,315,hypothetical protein HMPREF1120_00196
Un,NW_008751646.1,531763,533653,+,20304836,HMPREF1120_00197,XP_009152435.1,498,hypothetical protein HMPREF1120_00197
Un,NW_008751646.1,534599,536248,+,20304837,HMPREF1120_00198,XP_009152436.1,482,hypothetical protein HMPREF1120_00198
Un,NW_008751646.1,538615,541119,+,20304838,HMPREF1120_00199,XP_009152437.1,797,hypothetical protein HMPREF1120_00199
Un,NW_008751646.1,541991,542826,+,20304839,HMPREF1120_00200,XP_009152438.1,236,hypothetical protein HMPREF1120_00200
Un,NW_008751646.1,545926,546921,+,20304840,HMPREF1120_00201,XP_009152439.1,331,hypothetical protein HMPREF1120_00201
Un,NW_008751646.1,547574,548577,+,20304841,HMPREF1120_00202,XP_009152440.1,260,palmitoyl-CoA hydrolase
Un,NW_008751646.1,549195,551963,+,20304842,HMPREF1120_00203,XP_009152441.1,922,hypothetical protein HMPREF1120_00203
Un,NW_008751646.1,554232,555527,-,20304843,HMPREF1120_00204,XP_009152442.1,431,hypothetical protein HMPREF1120_00204
Un,NW_008751646.1,556538,558362,-,20304844,HMPREF1120_00205,XP_009152443.1,585,zinc finger protein MSN2/4
Un,NW_008751646.1,564901,565341,-,20304845,HMPREF1120_00206,XP_009152444.1,146,hypothetical protein HMPREF1120_00206
Un,NW_008751646.1,566544,567632,-,20304846,HMPREF1120_00207,XP_009152445.1,321,thioredoxin 1
Un,NW_008751646.1,568509,572606,-,20304847,HMPREF1120_00208,XP_009152446.1,1365,hypothetical protein HMPREF1120_00208
Un,NW_008751646.1,573500,574036,+,20304848,HMPREF1120_00209,XP_009152447.1,178,cytochrome c peroxidase
Un,NW_008751646.1,574127,575270,-,20304849,HMPREF1120_00210,XP_009152448.1,172,hypothetical protein HMPREF1120_00210
Un,NW_008751646.1,575971,577656,-,20304850,HMPREF1120_00211,XP_009152449.1,543,diacylglycerol O-acyltransferase 2
Un,NW_008751646.1,578275,579624,-,20304851,HMPREF1120_00212,XP_009152450.1,397,aspergillopepsin I
Un,NW_008751646.1,581171,582942,-,20304852,HMPREF1120_00213,XP_009152451.1,555,hypothetical protein HMPREF1120_00213
Un,NW_008751646.1,587361,588610,-,20304853,HMPREF1120_00214,XP_009152452.1,396,S-methyl-5-thioribose-1-phosphate isomerase
Un,NW_008751646.1,589031,589995,+,20304854,HMPREF1120_00215,XP_009152453.1,273,hypothetical protein HMPREF1120_00215
Un,NW_008751646.1,590366,590686,-,20304855,HMPREF1120_00216,XP_009152454.1,80,U6 snRNA-associated Sm-like protein LSm6
Un,NW_008751646.1,591497,593867,+,20304856,HMPREF1120_00217,XP_009152455.1,753,ankyrin
